TradeID,ScripName,Type,Side,SellDateTime,BuyDateTime,SellPrice,BuyPrice,PnL,ExitReason
160,MIDCPNIFTY25FEB11000PE,PE,SHORT,2025-02-17 14:00:00,2025-02-18 11:10:00,173.6,214.6,-4920.0,EMA_REVERSAL_SL
161,MIDCPNIFTY25FEB11200CE,CE,SHORT,2025-02-18 14:00:00,2025-02-18 15:05:00,150.0,185.6,-4272.0,EMA_REVERSAL_SL
162,MIDCPNIFTY25FEB11100PE,PE,SHORT,2025-02-18 15:10:00,2025-02-21 10:25:00,176.2,96.2,9600.0,EMA_REVERSAL_SL
163,MIDCPNIFTY25FEB11400CE,CE,SHORT,2025-02-21 14:00:00,2025-02-24 09:15:00,56.25,21.55,4164.0,TARGET_LTP_30
164,MIDCPNIFTY25MAR11100CE,CE,SHORT,2025-02-24 14:00:00,2025-03-03 13:10:00,384.5,201.85,21918.0,EMA_REVERSAL_SL
165,MIDCPNIFTY25MAR10800PE,PE,SHORT,2025-03-03 14:00:00,2025-03-06 15:20:00,263.9,129.65,16110.0,EMA_REVERSAL_SL
166,MIDCPNIFTY25MAR11200CE,CE,SHORT,2025-03-07 14:00:00,2025-03-11 14:25:00,220.65,159.3,7362.0,EMA_REVERSAL_SL
167,MIDCPNIFTY25MAR10800PE,PE,SHORT,2025-03-11 14:30:00,2025-03-12 10:50:00,151.75,205.4,-6438.0,EMA_REVERSAL_SL
168,MIDCPNIFTY25MAR11100CE,CE,SHORT,2025-03-12 14:00:00,2025-03-18 09:25:00,121.0,120.0,120.0,EMA_REVERSAL_SL
169,MIDCPNIFTY25MAR10900PE,PE,SHORT,2025-03-18 14:00:00,2025-03-19 12:45:00,75.15,29.15,5520.0,TARGET_LTP_30
170,MIDCPNIFTY25MAR11100PE,PE,SHORT,2025-03-19 14:00:00,2025-03-21 09:25:00,56.95,27.1,3582.0,TARGET_LTP_30
171,MIDCPNIFTY25MAR11300PE,PE,SHORT,2025-03-21 14:00:00,2025-03-24 09:15:00,51.5,19.15,3882.0,TARGET_LTP_30
172,MIDCPNIFTY25APR11500PE,PE,SHORT,2025-03-24 14:00:00,2025-03-25 10:30:00,169.9,220.0,-6012.0,EMA_REVERSAL_SL
173,MIDCPNIFTY25APR11700PE,PE,SHORT,2025-03-25 14:40:00,2025-03-26 13:10:00,281.45,316.0,-4146.0,EMA_REVERSAL_SL
174,MIDCPNIFTY25APR11700CE,CE,SHORT,2025-03-26 14:00:00,2025-03-27 15:05:00,254.8,258.0,-384.0,EMA_REVERSAL_SL
175,MIDCPNIFTY25APR11400PE,PE,SHORT,2025-03-27 15:10:00,2025-03-28 13:15:00,196.5,217.75,-2550.0,EMA_REVERSAL_SL
176,MIDCPNIFTY25APR11700CE,CE,SHORT,2025-03-28 14:00:00,2025-04-02 11:35:00,177.7,159.85,2142.0,EMA_REVERSAL_SL
177,MIDCPNIFTY25APR11400PE,PE,SHORT,2025-04-02 14:00:00,2025-04-03 10:45:00,168.25,204.0,-4290.0,EMA_REVERSAL_SL
178,MIDCPNIFTY25APR11500PE,PE,SHORT,2025-04-03 15:10:00,2025-04-04 09:30:00,221.1,290.2,-8292.0,EMA_REVERSAL_SL
