TradeID,ScripName,BuyDateTime,SellDateTime,BuyPrice,SellPrice,PnL,ExitReason
127,MIDCPNIFTY25MAY12600CE,2025-05-22 15:05:00,2025-05-23 11:45:00,139.4,124.0,-1848.0,EMA_REVERSAL
128,MIDCPNIFTY25JUN12700CE,2025-05-26 15:10:00,2025-05-28 14:45:00,374.35,362.05,-1476.0,EMA_REVERSAL
129,MIDCPNIFTY25JUN12700PE,2025-05-30 15:10:00,2025-06-02 15:00:00,268.8,290.9,2652.0,EMA_REVERSAL
130,MIDCPNIFTY25JUN12800PE,2025-06-03 15:15:00,2025-06-04 14:45:00,294.5,306.0,1380.0,EMA_REVERSAL
131,MIDCPNIFTY25JUN12900CE,2025-06-05 15:05:00,2025-06-10 14:45:00,239.05,542.05,36360.0,EMA_REVERSAL
132,MIDCPNIFTY25JUN13300PE,2025-06-10 15:25:00,2025-06-13 15:10:00,197.0,434.5,28500.0,TSL_HIT
133,MIDCPNIFTY25JUN13000CE,2025-06-18 14:50:00,2025-06-19 14:45:00,188.0,123.8,-7704.0,EMA_REVERSAL
134,MIDCPNIFTY25JUL13200PE,2025-06-24 15:00:00,2025-06-25 15:05:00,290.0,264.0,-3120.0,EMA_REVERSAL
135,MIDCPNIFTY25JUL13500CE,2025-06-30 15:20:00,2025-07-03 14:45:00,232.85,269.4,4386.0,EMA_REVERSAL
136,MIDCPNIFTY25JUL13500CE,2025-07-08 15:10:00,2025-07-09 14:45:00,185.0,174.55,-1254.0,EMA_REVERSAL
137,MIDCPNIFTY25JUL13400CE,2025-07-10 15:05:00,2025-07-11 15:15:00,185.65,131.45,-6504.0,EMA_REVERSAL
138,MIDCPNIFTY25JUL13300PE,2025-07-16 15:00:00,2025-07-21 15:05:00,142.3,213.0,8484.0,EMA_REVERSAL
139,MIDCPNIFTY25AUG13000CE,2025-07-28 14:50:00,2025-07-29 09:15:00,294.3,335.97,5000.0,TSL_HIT
140,MIDCPNIFTY25AUG13000PE,2025-07-30 15:20:00,2025-07-31 11:35:00,244.6,228.8,-1896.0,EMA_REVERSAL
141,MIDCPNIFTY25AUG12900CE,2025-08-05 15:10:00,2025-08-06 09:20:00,197.35,177.0,-2442.0,EMA_REVERSAL
142,MIDCPNIFTY25AUG12700PE,2025-08-06 15:10:00,2025-08-07 14:05:00,240.0,236.0,-480.0,EMA_REVERSAL
143,MIDCPNIFTY25AUG12900CE,2025-08-18 14:50:00,2025-08-18 15:05:00,121.0,148.4,3288.0,EMA_REVERSAL
144,MIDCPNIFTY25AUG12900PE,2025-08-20 15:25:00,2025-08-21 10:00:00,100.6,67.0,-4032.0,EMA_REVERSAL
145,MIDCPNIFTY25AUG12900PE,2025-08-22 15:10:00,2025-08-25 09:35:00,78.45,61.15,-2076.0,EMA_REVERSAL
146,MIDCPNIFTY25SEP12700PE,2025-09-02 15:25:00,2025-09-03 10:10:00,172.5,193.3,2496.0,EMA_REVERSAL
147,MIDCPNIFTY25SEP12700PE,2025-09-05 15:10:00,2025-09-08 09:25:00,146.65,150.0,402.0,EMA_REVERSAL
148,MIDCPNIFTY25SEP13000CE,2025-09-10 15:10:00,2025-09-11 11:35:00,215.45,226.5,1326.0,EMA_REVERSAL
149,MIDCPNIFTY25SEP13100CE,2025-09-11 15:15:00,2025-09-12 12:10:00,177.05,160.0,-2046.0,EMA_REVERSAL
150,MIDCPNIFTY25SEP13000PE,2025-09-12 14:55:00,2025-09-12 15:15:00,118.8,116.0,-336.0,EMA_REVERSAL
151,MIDCPNIFTY25SEP13200CE,2025-09-16 15:00:00,2025-09-17 13:50:00,123.45,145.45,2640.0,EMA_REVERSAL
152,MIDCPNIFTY25SEP13200CE,2025-09-17 15:10:00,2025-09-18 11:40:00,150.55,134.35,-1944.0,EMA_REVERSAL
153,MIDCPNIFTY25SEP13200PE,2025-09-19 15:05:00,2025-09-22 12:40:00,97.05,81.95,-1812.0,EMA_REVERSAL
154,MIDCPNIFTY25OCT12600PE,2025-09-29 15:00:00,2025-09-30 14:40:00,181.8,184.8,360.0,EMA_REVERSAL
155,MIDCPNIFTY25OCT13000CE,2025-10-09 14:50:00,2025-10-10 15:00:00,179.9,278.0,11772.0,EMA_REVERSAL
156,MIDCPNIFTY25OCT13200PE,2025-10-14 15:25:00,2025-10-15 09:15:00,161.25,232.6,8562.0,EMA_REVERSAL
157,MIDCPNIFTY25OCT13300PE,2025-10-23 15:00:00,2025-10-24 09:55:00,65.1,136.1,8520.0,EMA_REVERSAL
158,MIDCPNIFTY25OCT13300CE,2025-10-24 15:15:00,2025-10-28 10:35:00,71.35,102.5,3738.0,EMA_REVERSAL
159,MIDCPNIFTY25NOV13400CE,2025-10-28 15:05:00,2025-10-30 09:55:00,262.0,308.0,5520.0,EMA_REVERSAL
160,MIDCPNIFTY25NOV13500CE,2025-10-30 15:05:00,2025-10-31 11:05:00,226.1,248.0,2628.0,EMA_REVERSAL
161,MIDCPNIFTY25NOV13400PE,2025-10-31 14:55:00,2025-11-03 09:55:00,156.95,169.9,1554.0,EMA_REVERSAL
162,MIDCPNIFTY25NOV13500PE,2025-11-06 15:05:00,2025-11-07 10:35:00,199.15,256.5,6882.0,EMA_REVERSAL
163,MIDCPNIFTY25NOV13400PE,2025-11-10 15:20:00,2025-11-11 11:50:00,134.95,107.55,-3288.0,EMA_REVERSAL
164,MIDCPNIFTY25NOV13700PE,2025-11-12 15:25:00,2025-11-13 09:25:00,98.95,87.15,-1416.0,EMA_REVERSAL
165,MIDCPNIFTY25NOV13900CE,2025-11-14 15:00:00,2025-11-18 09:50:00,192.8,230.0,4464.0,EMA_REVERSAL
166,MIDCPNIFTY25DEC13900CE,2025-11-26 15:00:00,2025-11-27 11:30:00,310.55,377.35,8016.0,EMA_REVERSAL
167,MIDCPNIFTY25DEC14000PE,2025-12-02 14:50:00,2025-12-04 09:15:00,165.0,264.1,11892.0,EMA_REVERSAL
168,MIDCPNIFTY25DEC13800PE,2025-12-04 15:20:00,2025-12-05 11:00:00,150.15,157.4,870.0,EMA_REVERSAL
